Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SAP0100,2015.04,3.67,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.05,3.56,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.06,3.57,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.07,3.02,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.08,2.81,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.09,2.86,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.10,2.75,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.11,3.11,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2015.12,3.43,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.01,3.9,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.02,3.94,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.03,3.85,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.04,3.86,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.05,4,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.06,3.65,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.07,3.07,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.08,2.76,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.09,2.56,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.10,2.81,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.11,2.91,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2016.12,3.47,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.01,3.71,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.02,3.78,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.03,3.64,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.04,3.65,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.05,3.98,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.06,4.04,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.07,3.59,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.08,3.42,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.09,2.93,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.10,2.83,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.11,2.77,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2017.12,3.71,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.01,4.12,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.02,4.21,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.03,4.27,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.04,4.18,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.05,4.35,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.06,4.3,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.07,3.45,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.08,2.82,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.09,2.64,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.10,2.61,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.11,3.07,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2018.12,3.61,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.01,4.06,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.02,3.92,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.03,3.81,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.04,3.9,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.05,4.58,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.06,4.06,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.07,3.52,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.08,3.21,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.09,3.08,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.10,3.13,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0100,2019.11,3.56,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Oranges, 1kg"
CPIM.SAP0101,2006.06,1.66,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Bananas, 1kg"
CPIM.SAP0101,2006.07,1.59,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,"Bananas, 1kg"
